"","from_gene","Homo_sapiens","Mus_musculus","to_symbol"
"SNRPD3","SNRPD3","6634",67332,"Snrpd3"
"SNRPE","SNRPE","6635",20643,"Snrpe"
"SNRPF","SNRPF","6636",69878,"Snrpf"
"SNRPG","SNRPG","6637",68011,"Snrpg"
"SNRPN","SNRPN","6638",20646,"Snrpn"
"SNTA1","SNTA1","6640",20648,"Snta1"
"SNTB1","SNTB1","6641",20649,"Sntb1"
"SNX1","SNX1","6642",56440,"Snx1"
"SNX2","SNX2","6643",67804,"Snx2"
"SRIP1","SRIP1","6644",NA,NA
"SNTB2","SNTB2","6645",20650,"Sntb2"
"SOAT1","SOAT1","6646",20652,"Soat1"
"SOD1","SOD1","6647",20655,"Sod1"
"SOD2","SOD2","6648",20656,"Sod2"
"SOD3","SOD3","6649",20657,"Sod3"
"CAPN15","CAPN15","6650",50817,"Capn15"
"SON","SON","6651",20658,"Son"
"SORD","SORD","6652",20322,"Sord"
"SORL1","SORL1","6653",20660,"Sorl1"
"SOS1","SOS1","6654",20662,"Sos1"
"SOS2","SOS2","6655",20663,"Sos2"
"SOX1","SOX1","6656",20664,"Sox1"
"SOX2","SOX2","6657",20674,"Sox2"
"SOX3","SOX3","6658",20675,"Sox3"
"SOX4","SOX4","6659",20677,"Sox4"
"SOX5","SOX5","6660",20678,"Sox5"
"SOX5P1","SOX5P1","6661",NA,NA
"SOX9","SOX9","6662",20682,"Sox9"
"SOX10","SOX10","6663",20665,"Sox10"
"SOX11","SOX11","6664",20666,"Sox11"
"SOX15","SOX15","6665",20670,"Sox15"
"SOX12","SOX12","6666",20667,"Sox12"
"SP1","SP1","6667",20683,"Sp1"
"SP2","SP2","6668",78912,"Sp2"
"SP3","SP3","6670",20687,"Sp3"
"SP4","SP4","6671",20688,"Sp4"
"SP100","SP100","6672",20684,"Sp100"
"SPAG1","SPAG1","6674",26942,"Spag1"
"UAP1","UAP1","6675",107652,"Uap1"
"SPAG4","SPAG4","6676",245865,"Spag4"
"SPAM1","SPAM1","6677",NA,NA
"SPARC","SPARC","6678",20692,"Sparc"
"SPAST","SPAST","6683",50850,"Spast"
"SPG5B","SPG5B","6685",NA,NA
"SPG7","SPG7","6687",234847,"Spg7"
"SPI1","SPI1","6688",20375,"Spi1"
"SPIB","SPIB","6689",272382,"Spib"
"SPINK1","SPINK1","6690",20730,"Spink1"
"SPINK2","SPINK2","6691",69982,"Spink2"
"SPINT1","SPINT1","6692",20732,"Spint1"
"SPN","SPN","6693",20737,"Spn"
"SPP2","SPP2","6694",75396,"Spp2"
"SPOCK1","SPOCK1","6695",20745,"Spock1"
"SPP1","SPP1","6696",20750,"Spp1"
"SPR","SPR","6697",20751,"Spr"
"SPRR1A","SPRR1A","6698",NA,NA
"SPRR1B","SPRR1B","6699",20754,"Sprr1b"
"SPRR2A","SPRR2A","6700",NA,NA
"SPRR2B","SPRR2B","6701",NA,NA
"SPRR2C","SPRR2C","6702",NA,NA
"SPRR2D","SPRR2D","6703",NA,NA
"SPRR2E","SPRR2E","6704",NA,NA
"SPRR2F","SPRR2F","6705",NA,NA
"SPRR2G","SPRR2G","6706",NA,NA
"SPRR3","SPRR3","6707",NA,NA
"SPTA1","SPTA1","6708",20739,"Spta1"
"SPTAN1","SPTAN1","6709",20740,"Sptan1"
"SPTB","SPTB","6710",20741,"Sptb"
"SPTBN1","SPTBN1","6711",20742,"Sptbn1"
"SPTBN2","SPTBN2","6712",20743,"Sptbn2"
"SQLE","SQLE","6713",20775,"Sqle"
"SRC","SRC","6714",20779,"Src"
"SRD5A1","SRD5A1","6715",78925,"Srd5a1"
"SRD5A2","SRD5A2","6716",94224,"Srd5a2"
"SRI","SRI","6717",109552,"Sri"
"AKR1D1","AKR1D1","6718",208665,"Akr1d1"
"SRD5A1P1","SRD5A1P1","6719",NA,NA
"SREBF1","SREBF1","6720",20787,"Srebf1"
"SREBF2","SREBF2","6721",20788,"Srebf2"
"SRF","SRF","6722",20807,"Srf"
"SRM","SRM","6723",20810,"Srm"
"SRMS","SRMS","6725",20811,"Srms"
"SRP9","SRP9","6726",27058,"Srp9"
"SRP14","SRP14","6727",20813,"Srp14"
"SRP19","SRP19","6728",66384,"Srp19"
"SRP54","SRP54","6729",NA,NA
"SRP68","SRP68","6730",217337,"Srp68"
"SRP72","SRP72","6731",66661,"Srp72"
"SRPK1","SRPK1","6732",20815,"Srpk1"
"SRPK2","SRPK2","6733",20817,"Srpk2"
"SRPRA","SRPRA","6734",67398,"Srpr"
"SRY","SRY","6736",NA,NA
"TRIM21","TRIM21","6737",20821,"Trim21"
"RO60","RO60","6738",20822,"Ro60"
"SSAV1","SSAV1","6739",NA,NA
"SSB","SSB","6741",20823,"Ssb"
"SSBP1","SSBP1","6742",381760,"Ssbp1"
"ITPRID2","ITPRID2","6744",70599,"Itprid2"
"SSR1","SSR1","6745",107513,"Ssr1"
"SSR2","SSR2","6746",66256,"Ssr2"
"SSR3","SSR3","6747",67437,"Ssr3"
"SSR4","SSR4","6748",20832,"Ssr4"
"SSRP1","SSRP1","6749",20833,"Ssrp1"
"SST","SST","6750",20604,"Sst"
"SSTR1","SSTR1","6751",20605,"Sstr1"
"SSTR2","SSTR2","6752",20606,"Sstr2"
"SSTR3","SSTR3","6753",20607,"Sstr3"
"SSTR4","SSTR4","6754",20608,"Sstr4"
"SSTR5","SSTR5","6755",20609,"Sstr5"
"SSX1","SSX1","6756",NA,NA
"SSX2","SSX2","6757",NA,NA
"SSX5","SSX5","6758",NA,NA
"SSX4","SSX4","6759",NA,NA
"SS18","SS18","6760",268996,"Ss18"
"ST2","ST2","6761",NA,NA
"ST3","ST3","6762",NA,NA
"DENND2B","DENND2B","6764",76954,"Dennd2b"
"ST8","ST8","6765",NA,NA
"ST13","ST13","6767",70356,"St13"
"ST14","ST14","6768",19143,"St14"
"STAC","STAC","6769",20840,"Stac"
"STAR","STAR","6770",20845,"Star"
"STARP1","STARP1","6771",NA,NA
"STAT1","STAT1","6772",20846,"Stat1"
"STAT2","STAT2","6773",20847,"Stat2"
"STAT3","STAT3","6774",20848,"Stat3"
"STAT4","STAT4","6775",20849,"Stat4"
"STAT5A","STAT5A","6776",20850,"Stat5a"
"STAT5B","STAT5B","6777",20851,"Stat5b"
"STAT6","STAT6","6778",20852,"Stat6"
"STATH","STATH","6779",NA,NA
"STAU1","STAU1","6780",20853,"Stau1"
"STC1","STC1","6781",20855,"Stc1"
"HSPA13","HSPA13","6782",110920,"Hspa13"
"SULT1E1","SULT1E1","6783",NA,NA
"ELOVL4","ELOVL4","6785",83603,"Elovl4"
"STIM1","STIM1","6786",20866,"Stim1"
"NEK4","NEK4","6787",23955,"Nek4"
"STK3","STK3","6788",56274,"Stk3"
"STK4","STK4","6789",58231,"Stk4"
"AURKA","AURKA","6790",20878,"Aurka"
"AURKAP1","AURKAP1","6791",NA,NA
"CDKL5","CDKL5","6792",382253,"Cdkl5"
"STK10","STK10","6793",20868,"Stk10"
"STK11","STK11","6794",20869,"Stk11"
"AURKC","AURKC","6795",20871,"Aurkc"
"SULT1A2","SULT1A2","6799",NA,NA
"STRN","STRN","6801",268980,"Strn"
"STSP1","STSP1","6803",NA,NA
"STX1A","STX1A","6804",20907,"Stx1a"
"STX3","STX3","6809",20908,"Stx3"
"STX4","STX4","6810",20909,"Stx4a"
"STX5","STX5","6811",56389,"Stx5a"
"STXBP1","STXBP1","6812",20910,"Stxbp1"
"STXBP2","STXBP2","6813",20911,"Stxbp2"
"STXBP3","STXBP3","6814",20912,"Stxbp3"
"STYX","STYX","6815",56291,"Styx"
"SULT1A1","SULT1A1","6817",20887,"Sult1a1"
"SULT1A3","SULT1A3","6818",NA,NA
"SULT1C2","SULT1C2","6819",NA,NA
"SULT2B1","SULT2B1","6820",54200,"Sult2b1"
"SUOX","SUOX","6821",211389,"Suox"
"SULT2A1","SULT2A1","6822",NA,NA
"ETF1P1","ETF1P1","6824",NA,NA
"ETF1P2","ETF1P2","6825",NA,NA
"SUPT4H1","SUPT4H1","6827",20922,"Supt4a"
"SUPT5H","SUPT5H","6829",20924,"Supt5"
"SUPT6H","SUPT6H","6830",20926,"Supt6"
"SUPV3L1","SUPV3L1","6832",338359,"Supv3l1"
"ABCC8","ABCC8","6833",20927,"Abcc8"
"SURF1","SURF1","6834",20930,"Surf1"
"SURF2","SURF2","6835",20931,"Surf2"
"SURF4","SURF4","6836",20932,"Surf4"
"MED22","MED22","6837",20933,"Med22"
"SURF6","SURF6","6838",20935,"Surf6"
"SUV39H1","SUV39H1","6839",20937,"Suv39h1"
"SVIL","SVIL","6840",225115,"Svil"
"VAMP1","VAMP1","6843",22317,"Vamp1"
"VAMP2","VAMP2","6844",22318,"Vamp2"
"VAMP7","VAMP7","6845",20955,"Vamp7"
"XCL2","XCL2","6846",NA,NA
"SYCP1","SYCP1","6847",20957,"Sycp1"
"SYK","SYK","6850",20963,"Syk"
"SYN1","SYN1","6853",20964,"Syn1"
"SYN2","SYN2","6854",20965,"Syn2"
"SYP","SYP","6855",20977,"Syp"
"SYPL1","SYPL1","6856",19027,"Sypl"
"SYT1","SYT1","6857",20979,"Syt1"
"SYT4","SYT4","6860",20983,"Syt4"
"SYT5","SYT5","6861",53420,"Syt5"
"TBXT","TBXT","6862",NA,NA
"TAC1","TAC1","6863",21333,"Tac1"
"TACR2","TACR2","6865",21337,"Tacr2"
"TAC3","TAC3","6866",21334,"Tac2"
"TACC1","TACC1","6867",320165,"Tacc1"
"ADAM17","ADAM17","6868",11491,"Adam17"
"TACR1","TACR1","6869",21336,"Tacr1"
"TACR3","TACR3","6870",21338,"Tacr3"
"TADA2A","TADA2A","6871",217031,"Tada2a"
"TAF1","TAF1","6872",270627,"Taf1"
"TAF2","TAF2","6873",319944,"Taf2"
"TAF4","TAF4","6874",228980,"Taf4"
"TAF4B","TAF4B","6875",72504,"Taf4b"
"TAGLN","TAGLN","6876",21345,"Tagln"
"TAF5","TAF5","6877",226182,"Taf5"
"TAF6","TAF6","6878",21343,"Taf6"
"TAF7","TAF7","6879",24074,"Taf7"
"TAF9","TAF9","6880",108143,"Taf9"
"TAF10","TAF10","6881",24075,"Taf10"
"TAF11","TAF11","6882",68776,"Taf11"
"TAF12","TAF12","6883",66464,"Taf12"
"TAF13","TAF13","6884",99730,"Taf13"
"MAP3K7","MAP3K7","6885",26409,"Map3k7"
"TAL1","TAL1","6886",21349,"Tal1"
"TAL2","TAL2","6887",21350,"Tal2"
"TALDO1","TALDO1","6888",21351,"Taldo1"
"TALDO1P1","TALDO1P1","6889",NA,NA
"TAP1","TAP1","6890",21354,"Tap1"
"TAP2","TAP2","6891",21355,"Tap2"
"TAPBP","TAPBP","6892",21356,"Tapbp"
"TAPVR1","TAPVR1","6893",NA,NA
"TARBP1","TARBP1","6894",212728,"Tarbp1"
"TARBP2","TARBP2","6895",21357,"Tarbp2"
"TARBP2P1","TARBP2P1","6896",NA,NA
"TARS1","TARS1","6897",110960,"Tars"
"TAT","TAT","6898",234724,"Tat"
"TBX1","TBX1","6899",21380,"Tbx1"
"CNTN2","CNTN2","6900",21367,"Cntn2"
"TAFAZZIN","TAFAZZIN","6901",66826,"Tafazzin"
"TBCA","TBCA","6902",21371,"Tbca"
"TBCC","TBCC","6903",72726,"Tbcc"
"TBCD","TBCD","6904",108903,"Tbcd"
"TBCE","TBCE","6905",70430,"Tbce"
"SERPINA7","SERPINA7","6906",331535,"Serpina7"
"TBL1X","TBL1X","6907",NA,NA
"TBP","TBP","6908",21374,"Tbp"
"TBX2","TBX2","6909",21385,"Tbx2"
"TBX5","TBX5","6910",21388,"Tbx5"
"TBX6","TBX6","6911",21389,"Tbx6"
"TBX15","TBX15","6913",21384,"Tbx15"
"TBXA1R","TBXA1R","6914",NA,NA
"TBXA2R","TBXA2R","6915",21390,"Tbxa2r"
"TBXAS1","TBXAS1","6916",21391,"Tbxas1"
"TCEA1","TCEA1","6917",21399,"Tcea1"
"TCEA1P1","TCEA1P1","6918",NA,NA
"TCEA2","TCEA2","6919",21400,"Tcea2"
"TCEA3","TCEA3","6920",21401,"Tcea3"
"ELOC","ELOC","6921",67923,"Eloc"
"SKP1P1","SKP1P1","6922",NA,NA
"ELOB","ELOB","6923",67673,"Elob"
"ELOA","ELOA","6924",27224,"Eloa"
"TCF4","TCF4","6925",21413,"Tcf4"
"TBX3","TBX3","6926",21386,"Tbx3"
"HNF1A","HNF1A","6927",21405,"Hnf1a"
"HNF1B","HNF1B","6928",21410,"Hnf1b"
"TCF3","TCF3","6929",21423,"Tcf3"
"TCF7","TCF7","6932",21414,"Tcf7"
"TCF7L2","TCF7L2","6934",21416,"Tcf7l2"
"ZEB1","ZEB1","6935",21417,"Zeb1"
"GCFC2","GCFC2","6936",330361,"Gcfc2"
"TCF12","TCF12","6938",21406,"Tcf12"
"TCF15","TCF15","6939",21407,"Tcf15"
"ZNF354A","ZNF354A","6940",21408,"Zfp354a"
"TCF19","TCF19","6941",106795,"Tcf19"
"TCF20","TCF20","6942",21411,"Tcf20"
"TCF21","TCF21","6943",21412,"Tcf21"
"VPS72","VPS72","6944",21427,"Vps72"
"MLX","MLX","6945",21428,"Mlx"
"TCL4","TCL4","6946",NA,NA
"TCN1","TCN1","6947",NA,NA
"TCN2","TCN2","6948",21452,"Tcn2"
"TCOF1","TCOF1","6949",21453,"Tcof1"
"TCP1","TCP1","6950",21454,"Tcp1"
"TCP1P2","TCP1P2","6952",NA,NA
"TCP10L3","TCP10L3","6953",NA,NA
"TCP11","TCP11","6954",21463,"Tcp11"
"TRA","TRA","6955",NA,NA
"TRAV6","TRAV6","6956",NA,NA
"TRB","TRB","6957",NA,NA
"TRBV29OR9-2","TRBV29OR9-2","6958",NA,NA
"TRBV21OR9-2","TRBV21OR9-2","6959",NA,NA
"TRBV25OR9-2","TRBV25OR9-2","6960",NA,NA
"TRBV24OR9-2","TRBV24OR9-2","6961",NA,NA
"TRBV20OR9-2","TRBV20OR9-2","6962",NA,NA
"TRD","TRD","6964",NA,NA
"TRG","TRG","6965",NA,NA
"TRGC1","TRGC1","6966",NA,NA
"TRGC2","TRGC2","6967",NA,NA
"TRGJ1","TRGJ1","6968",NA,NA
"TRGJ2","TRGJ2","6969",NA,NA
"TRGJP","TRGJP","6970",NA,NA
"TRGJP1","TRGJP1","6971",NA,NA
"TRGJP2","TRGJP2","6972",NA,NA
"TRGV1","TRGV1","6973",NA,NA
"TRGV2","TRGV2","6974",NA,NA
"TECTB","TECTB","6975",21684,"Tectb"
"TRGV3","TRGV3","6976",NA,NA
"TRGV4","TRGV4","6977",NA,NA
"TRGV5","TRGV5","6978",NA,NA
"TRGV5P","TRGV5P","6979",NA,NA
"TRGV6","TRGV6","6980",NA,NA
"TRGV7","TRGV7","6981",NA,NA
"TRGV8","TRGV8","6982",NA,NA
"TRGV9","TRGV9","6983",NA,NA
"TRGV10","TRGV10","6984",NA,NA
"TRGV11","TRGV11","6985",NA,NA
"TRGVA","TRGVA","6986",NA,NA
"TRGVB","TRGVB","6987",NA,NA
"TCTA","TCTA","6988",102791,"Tcta"
"DYNLT3","DYNLT3","6990",67117,"Dynlt3"
"DYNLT2","DYNLT2","6991",NA,NA
"PPP1R11","PPP1R11","6992",76497,"Ppp1r11"
"DYNLT1","DYNLT1","6993",NA,NA
"TDG","TDG","6996",21665,"Tdg"
"CRIPTO","CRIPTO","6997",21667,"Tdgf1"
"CRIPTO3","CRIPTO3","6998",NA,NA
"TDO2","TDO2","6999",56720,"Tdo2"
"PRDX2","PRDX2","7001",21672,"Prdx2"
"PRDX1P1","PRDX1P1","7002",NA,NA
"TEAD1","TEAD1","7003",21676,"Tead1"
"TEAD4","TEAD4","7004",21679,"Tead4"
"TEAD3","TEAD3","7005",21678,"Tead3"
"TEC","TEC","7006",21682,"Tec"
"TECTA","TECTA","7007",21683,"Tecta"
"TEF","TEF","7008",21685,"Tef"
"TMBIM6","TMBIM6","7009",110213,"Tmbim6"
"TEK","TEK","7010",21687,"Tek"
"TEP1","TEP1","7011",21745,"Tep1"
"TERC","TERC","7012",NA,NA
"TERF1","TERF1","7013",21749,"Terf1"
"TERF2","TERF2","7014",21750,"Terf2"
"TERT","TERT","7015",21752,"Tert"
"TESK1","TESK1","7016",21754,"Tesk1"
"TF","TF","7018",22041,"Trf"
"TFAM","TFAM","7019",21780,"Tfam"
"TFAP2A","TFAP2A","7020",21418,"Tfap2a"
"TFAP2B","TFAP2B","7021",21419,"Tfap2b"
"TFAP2C","TFAP2C","7022",21420,"Tfap2c"
"TFAP4","TFAP4","7023",83383,"Tfap4"
"TFCP2","TFCP2","7024",21422,"Tfcp2"
"NR2F1","NR2F1","7025",13865,"Nr2f1"
"NR2F2","NR2F2","7026",11819,"Nr2f2"
"TFDP1","TFDP1","7027",21781,"Tfdp1"
"TFDP2","TFDP2","7029",211586,"Tfdp2"
"TFE3","TFE3","7030",209446,"Tfe3"
"TFF1","TFF1","7031",21784,"Tff1"
"TFF2","TFF2","7032",21785,"Tff2"
"TFF3","TFF3","7033",21786,"Tff3"
"TFPI","TFPI","7035",21788,"Tfpi"
"TFR2","TFR2","7036",50765,"Tfr2"
"TFRC","TFRC","7037",22042,"Tfrc"
"TG","TG","7038",21819,"Tg"
"TGFA","TGFA","7039",21802,"Tgfa"
"TGFB1","TGFB1","7040",21803,"Tgfb1"
"TGFB1I1","TGFB1I1","7041",21804,"Tgfb1i1"
"TGFB2","TGFB2","7042",21808,"Tgfb2"
"TGFB3","TGFB3","7043",21809,"Tgfb3"
"LEFTY2","LEFTY2","7044",320202,"Lefty2"
"TGFBI","TGFBI","7045",21810,"Tgfbi"
"TGFBR1","TGFBR1","7046",21812,"Tgfbr1"
"TGM4","TGM4","7047",331046,"Tgm4"
"TGFBR2","TGFBR2","7048",21813,"Tgfbr2"
"TGFBR3","TGFBR3","7049",21814,"Tgfbr3"
"TGIF1","TGIF1","7050",21815,"Tgif1"
"TGM1","TGM1","7051",21816,"Tgm1"
"TGM2","TGM2","7052",21817,"Tgm2"
"TGM3","TGM3","7053",21818,"Tgm3"
"TH","TH","7054",21823,"Th"
"THAS","THAS","7055",NA,NA
"THBD","THBD","7056",21824,"Thbd"
"THBS1","THBS1","7057",21825,"Thbs1"
"THBS2","THBS2","7058",21826,"Thbs2"
"THBS3","THBS3","7059",21827,"Thbs3"
"THBS4","THBS4","7060",21828,"Thbs4"
"TCHH","TCHH","7062",99681,"Tchh"
"THM","THM","7063",NA,NA
"THOP1","THOP1","7064",50492,"Thop1"
"THPO","THPO","7066",21832,"Thpo"
"THRA","THRA","7067",21833,"Thra"
"THRB","THRB","7068",21834,"Thrb"
"THRSP","THRSP","7069",21835,"Thrsp"
"THY1","THY1","7070",21838,"Thy1"
"KLF10","KLF10","7071",21847,"Klf10"
"TIA1","TIA1","7072",21841,"Tia1"
"TIAL1","TIAL1","7073",21843,"Tial1"
"TIAM1","TIAM1","7074",21844,"Tiam1"
"TIE1","TIE1","7075",21846,"Tie1"
"TIMP1","TIMP1","7076",21857,"Timp1"
"TIMP2","TIMP2","7077",21858,"Timp2"
"TIMP3","TIMP3","7078",21859,"Timp3"
"TIMP4","TIMP4","7079",110595,"Timp4"
"NKX2-1","NKX2-1","7080",21869,"Nkx2-1"
"TJP1","TJP1","7082",21872,"Tjp1"
"TK1","TK1","7083",21877,"Tk1"
"TK2","TK2","7084",57813,"Tk2"
"TKCR","TKCR","7085",NA,NA
"TKT","TKT","7086",21881,"Tkt"
"ICAM5","ICAM5","7087",15898,"Icam5"
"TLE1","TLE1","7088",NA,NA
"TLE2","TLE2","7089",21886,"Tle2"
"TLE3","TLE3","7090",21887,"Tle3"
"TLE4","TLE4","7091",21888,"Tle4"
"TLL1","TLL1","7092",21892,"Tll1"
"TLL2","TLL2","7093",24087,"Tll2"
"TLN1","TLN1","7094",21894,"Tln1"
"SEC62","SEC62","7095",69276,"Sec62"
"TLR1","TLR1","7096",21897,"Tlr1"
"TLR2","TLR2","7097",24088,"Tlr2"
"TLR3","TLR3","7098",142980,"Tlr3"
"TLR4","TLR4","7099",21898,"Tlr4"
"TLR5","TLR5","7100",53791,"Tlr5"
"NR2E1","NR2E1","7101",21907,"Nr2e1"
"TSPAN7","TSPAN7","7102",21912,"Tspan7"
"TSPAN8","TSPAN8","7103",216350,"Tspan8"
"TM4SF4","TM4SF4","7104",229302,"Tm4sf4"
"TSPAN6","TSPAN6","7105",56496,"Tspan6"
"TSPAN4","TSPAN4","7106",64540,"Tspan4"
"GPR137B","GPR137B","7107",83924,"Gpr137b"
"TM7SF2","TM7SF2","7108",73166,"Tm7sf2"
"TRAPPC10","TRAPPC10","7109",216131,"Trappc10"
"TMF1","TMF1","7110",232286,"Tmf1"
"TMOD1","TMOD1","7111",21916,"Tmod1"
"TMPO","TMPO","7112",21917,"Tmpo"
"TMPRSS2","TMPRSS2","7113",50528,"Tmprss2"
"TMSB4X","TMSB4X","7114",19241,"Tmsb4x"
"TMSB4XP1","TMSB4XP1","7115",NA,NA
"TMSB4XP2","TMSB4XP2","7116",NA,NA
"TMSB4XP8","TMSB4XP8","7117",NA,NA
"TMSB4XP4","TMSB4XP4","7118",NA,NA
"TMSB4XP5","TMSB4XP5","7119",NA,NA
"TMSB4XP6","TMSB4XP6","7120",NA,NA
"TMSB4XP7","TMSB4XP7","7121",NA,NA
"CLDN5","CLDN5","7122",12741,"Cldn5"
"CLEC3B","CLEC3B","7123",21922,"Clec3b"
"TNF","TNF","7124",21926,"Tnf"
"TNNC2","TNNC2","7125",21925,"Tnnc2"
"TNFAIP1","TNFAIP1","7126",21927,"Tnfaip1"
"TNFAIP2","TNFAIP2","7127",21928,"Tnfaip2"
"TNFAIP3","TNFAIP3","7128",21929,"Tnfaip3"
"TNFAIP6","TNFAIP6","7130",21930,"Tnfaip6"
"TNFRSF1A","TNFRSF1A","7132",21937,"Tnfrsf1a"
"TNFRSF1B","TNFRSF1B","7133",21938,"Tnfrsf1b"
"TNNC1","TNNC1","7134",21924,"Tnnc1"
"TNNI1","TNNI1","7135",21952,"Tnni1"
"TNNI2","TNNI2","7136",21953,"Tnni2"
"TNNI3","TNNI3","7137",21954,"Tnni3"
"TNNT1","TNNT1","7138",21955,"Tnnt1"
"TNNT2","TNNT2","7139",21956,"Tnnt2"
"TNNT3","TNNT3","7140",21957,"Tnnt3"
"TNP1","TNP1","7141",21958,"Tnp1"
"TNP2","TNP2","7142",21959,"Tnp2"
"TNR","TNR","7143",21960,"Tnr"
"TNS1","TNS1","7145",21961,"Tns1"
"TNXA","TNXA","7146",NA,NA
"TNXB","TNXB","7148",81877,"Tnxb"
"TOP1","TOP1","7150",21969,"Top1"
"TOP1P1","TOP1P1","7151",NA,NA
"TOP1P2","TOP1P2","7152",NA,NA
"TOP2A","TOP2A","7153",21973,"Top2a"
"TRA-TGC7-1","TRA-TGC7-1","7154",NA,NA
"TOP2B","TOP2B","7155",21974,"Top2b"
"TOP3A","TOP3A","7156",21975,"Top3a"
"TP53","TP53","7157",22059,"Trp53"
"TP53BP1","TP53BP1","7158",27223,"Trp53bp1"
"TP53BP2","TP53BP2","7159",209456,"Trp53bp2"
"TP73","TP73","7161",22062,"Trp73"
"TPBG","TPBG","7162",21983,"Tpbg"
"TPD52","TPD52","7163",21985,"Tpd52"
"TPD52L1","TPD52L1","7164",21987,"Tpd52l1"
"TPD52L2","TPD52L2","7165",66314,"Tpd52l2"
"TPH1","TPH1","7166",21990,"Tph1"
"TPI1","TPI1","7167",21991,"Tpi1"
"TPM1","TPM1","7168",22003,"Tpm1"
"TPM2","TPM2","7169",22004,"Tpm2"
"TPM3","TPM3","7170",59069,"Tpm3"
"TPM4","TPM4","7171",326618,"Tpm4"
"TPMT","TPMT","7172",22017,"Tpmt"
"TPO","TPO","7173",22018,"Tpo"
"TPP2","TPP2","7174",22019,"Tpp2"
"TPR","TPR","7175",108989,"Tpr"
"TPSAB1","TPSAB1","7177",NA,NA
"TPT1","TPT1","7178",22070,"Tpt1"
"TPTE","TPTE","7179",NA,NA
"CRISP2","CRISP2","7180",22024,"Crisp2"
"NR2C1","NR2C1","7181",22025,"Nr2c1"
"NR2C2","NR2C2","7182",22026,"Nr2c2"
"TRC-GCA24-1","TRC-GCA24-1","7183",NA,NA
"HSP90B1","HSP90B1","7184",22027,"Hsp90b1"
"TRAF1","TRAF1","7185",22029,"Traf1"
"TRAF2","TRAF2","7186",22030,"Traf2"
"TRAF3","TRAF3","7187",22031,"Traf3"
"TRAF5","TRAF5","7188",22033,"Traf5"
"TRAF6","TRAF6","7189",22034,"Traf6"
"HSP90B2P","HSP90B2P","7190",NA,NA
"TRD-GTC9-1","TRD-GTC9-1","7192",NA,NA
"TRE-TTC3-1","TRE-TTC3-1","7193",NA,NA
"TRG-CCC1-1","TRG-CCC1-1","7195",NA,NA
"TRG-GCC2-6","TRG-GCC2-6","7196",NA,NA
"TRG-TCC1-1","TRG-TCC1-1","7197",NA,NA
"TRG-GCC3-1","TRG-GCC3-1","7198",NA,NA
"TRH","TRH","7200",22044,"Trh"
"TRHR","TRHR","7201",22045,"Trhr"
"TRI-AAT9-1","TRI-AAT9-1","7202",NA,NA
"CCT3","CCT3","7203",12462,"Cct3"
"TRIO","TRIO","7204",223435,"Trio"
"TRIP6","TRIP6","7205",22051,"Trip6"
"TRK-TTT3-5","TRK-TTT3-5","7206",NA,NA
"TRL-AAG2-3","TRL-AAG2-3","7207",NA,NA
"TRL-TAG1-1","TRL-TAG1-1","7208",NA,NA
"TRNAL47P","TRNAL47P","7209",NA,NA
"TRX-CAT1-2","TRX-CAT1-2","7210",NA,NA
"TRMEP1","TRMEP1","7211",NA,NA
"TRX-CAT2-1","TRX-CAT2-1","7212",NA,NA
"TRN-GTT2-7","TRN-GTT2-7","7214",NA,NA
"TRO","TRO","7216",56191,"Tro"
"TRP-AGG2-5","TRP-AGG2-5","7217",NA,NA
"TRP-AGG2-6","TRP-AGG2-6","7218",NA,NA
"TRP-TGG3-1","TRP-TGG3-1","7219",NA,NA
"TRPC1","TRPC1","7220",22063,"Trpc1"
"TRPC2","TRPC2","7221",NA,NA
"TRPC3","TRPC3","7222",22065,"Trpc3"
"TRPC4","TRPC4","7223",22066,"Trpc4"
"TRPC5","TRPC5","7224",22067,"Trpc5"
"TRPC6","TRPC6","7225",22068,"Trpc6"
"TRPM2","TRPM2","7226",28240,"Trpm2"
"TRPS1","TRPS1","7227",83925,"Trps1"
"TRQ-CTG1-5","TRQ-CTG1-5","7228",NA,NA
"TRQ-TTG1-1","TRQ-TTG1-1","7229",NA,NA
"TRR-TCT2-1","TRR-TCT2-1","7230",NA,NA
"TRR-ACG1-2","TRR-ACG1-2","7231",NA,NA
"TRR-TCG4-1","TRR-TCG4-1","7232",NA,NA
"TRR-CCG2-1","TRR-CCG2-1","7233",NA,NA
"TRU-TCA1-1","TRU-TCA1-1","7234",NA,NA
"TRU-TCA2-1","TRU-TCA2-1","7235",NA,NA
"TRT-TGT6-1","TRT-TGT6-1","7236",NA,NA
"TRT-TGT3-1","TRT-TGT3-1","7237",NA,NA
"TRT-AGT7-1","TRT-AGT7-1","7238",NA,NA
"TRV-AAC1-4","TRV-AAC1-4","7239",NA,NA
"TRV-CAC1-2","TRV-CAC1-2","7240",NA,NA
"TRV-AAC1-3","TRV-AAC1-3","7241",NA,NA
"TSN","TSN","7247",22099,"Tsn"
"TSC1","TSC1","7248",64930,"Tsc1"
"TSC2","TSC2","7249",22084,"Tsc2"
"TSG101","TSG101","7251",22088,"Tsg101"
"TSHB","TSHB","7252",22094,"Tshb"
"TSHR","TSHR","7253",22095,"Tshr"
"TSNAX","TSNAX","7257",53424,"Tsnax"
"TSPY1","TSPY1","7258",NA,NA
"TSPYL1","TSPYL1","7259",22110,"Tspyl1"
