"","from_gene","Mus_musculus","Homo_sapiens","to_symbol"
"Qd","Qd","104023",NA,NA
"Synpo","Synpo","104027",11346,"SYNPO"
"Cp2","Cp2","104029",NA,NA
"Cyl","Cyl","104030",NA,NA
"Dfp2","Dfp2","104033",NA,NA
"Lop3","Lop3","104036",NA,NA
"Lop5","Lop5","104037",NA,NA
"Lop6","Lop6","104038",NA,NA
"Lop7","Lop7","104039",NA,NA
"Lop8","Lop8","104040",NA,NA
"Lop9","Lop9","104041",NA,NA
"Trp2","Trp2","104042",NA,NA
"Sta","Sta","104044",NA,NA
"Gtl8","Gtl8","104045",NA,NA
"Mom6","Mom6","104046",NA,NA
"Ga","Ga","104054",NA,NA
"Hst3","Hst3","104055",NA,NA
"Mal1","Mal1","104057",NA,NA
"Panc2","Panc2","104058",NA,NA
"Gtl9","Gtl9","104063",NA,NA
"Mgpt1","Mgpt1","104065",NA,NA
"Panc1","Panc1","104066",NA,NA
"Pol1","Pol1","104067",NA,NA
"Sncb","Sncb","104069",6620,"SNCB"
"Gdr1","Gdr1","104070",NA,NA
"Tol1","Tol1","104072",NA,NA
"Up","Up","104073",NA,NA
"Nxph3","Nxph3","104079",11248,"NXPH3"
"Nxph4","Nxph4","104080",11247,"NXPH4"
"Wdr7","Wdr7","104082",23335,"WDR7"
"Bfo","Bfo","104083",NA,NA
"Cyp27a1","Cyp27a1","104086",1593,"CYP27A1"
"Dre","Dre","104087",NA,NA
"Exa","Exa","104088",NA,NA
"Hct","Hct","104089",NA,NA
"Hxa","Hxa","104090",NA,NA
"Ir1","Ir1","104091",NA,NA
"Ir3","Ir3","104092",NA,NA
"Ir4","Ir4","104093",NA,NA
"Ir8","Ir8","104095",NA,NA
"Pol16","Pol16","104096",NA,NA
"Pol27","Pol27","104097",NA,NA
"Xpl","Xpl","104098",NA,NA
"Itga9","Itga9","104099",3680,"ITGA9"
"Gtayu3","Gtayu3","104101",NA,NA
"Airn","Airn","104103",NA,NA
"Ath2","Ath2","104104",NA,NA
"Ath7","Ath7","104105",NA,NA
"Ath8","Ath8","104106",NA,NA
"Pol17","Pol17","104107",NA,NA
"Segr","Segr","104108",NA,NA
"Adcy4","Adcy4","104110",196883,"ADCY4"
"Adcy3","Adcy3","104111",109,"ADCY3"
"Acly","Acly","104112",47,"ACLY"
"Act3","Act3","104113",NA,NA
"H29","H29","104116",NA,NA
"H35","H35","104117",NA,NA
"H37","H37","104118",NA,NA
"H48","H48","104119",NA,NA
"H52","H52","104120",NA,NA
"Lar","Lar","104121",NA,NA
"Lpn1","Lpn1","104122",NA,NA
"Lpn2","Lpn2","104123",NA,NA
"Meta","Meta","104124",NA,NA
"Lith3","Lith3","104126",NA,NA
"Lith2","Lith2","104127",NA,NA
"Egm2","Egm2","104128",NA,NA
"Ndufb11","Ndufb11","104130",54539,"NDUFB11"
"Ads4","Ads4","104132",NA,NA
"H17","H17","104133",NA,NA
"H19h","H19h","104134",NA,NA
"H34","H34","104135",NA,NA
"H38","H38","104136",NA,NA
"H40","H40","104137",NA,NA
"H50","H50","104138",NA,NA
"H53","H53","104139",NA,NA
"H55","H55","104140",NA,NA
"H57","H57","104141",NA,NA
"Len2","Len2","104142",NA,NA
"Ly36","Ly36","104143",NA,NA
"Mv","Mv","104144",NA,NA
"Pp","Pp","104145",NA,NA
"Cgct","Cgct","104146",NA,NA
"Dmc","Dmc","104147",NA,NA
"Lvs","Lvs","104148",NA,NA
"Ly16","Ly16","104149",NA,NA
"Phmr","Phmr","104151",NA,NA
"Spl","Spl","104153",NA,NA
"Tsv","Tsv","104154",NA,NA
"Lamr2","Lamr2","104155",NA,NA
"Etv5","Etv5","104156",2119,"ETV5"
"Ces1d","Ces1d","104158",NA,NA
"Epa1","Epa1","104159",NA,NA
"H9","H9","104160",NA,NA
"Lyb6","Lyb6","104161",NA,NA
"Lyx1","Lyx1","104162",NA,NA
"Lyx2","Lyx2","104163",NA,NA
"Lyx3","Lyx3","104164",NA,NA
"Met2","Met2","104165",NA,NA
"Pd","Pd","104167",NA,NA
"Rmp1","Rmp1","104168",NA,NA
"Gtl11","Gtl11","104169",NA,NA
"Gtl10","Gtl10","104170",NA,NA
"Gtl12","Gtl12","104171",NA,NA
"Cypr3","Cypr3","104173",NA,NA
"Gldc","Gldc","104174",2731,"GLDC"
"Sbk1","Sbk1","104175",388228,"SBK1"
"Ly8","Ly8","104176",NA,NA
"Lyb7","Lyb7","104177",NA,NA
"Srv","Srv","104179",NA,NA
"Zfp56","Zfp56","104180",NA,NA
"Chil4","Chil4","104183",NA,NA
"Blmh","Blmh","104184",642,"BLMH"
"Lm1","Lm1","104187",NA,NA
"Lna1","Lna1","104188",NA,NA
"Lpn3","Lpn3","104189",NA,NA
"Po","Po","104190",NA,NA
"Sgp2","Sgp2","104191",NA,NA
"Meng","Meng","104192",NA,NA
"Ce1","Ce1","104193",NA,NA
"Ea2","Ea2","104194",NA,NA
"Ea5","Ea5","104196",NA,NA
"Ea7","Ea7","104197",NA,NA
"H10","H10","104199",NA,NA
"H11","H11","104200",NA,NA
"H12","H12","104201",NA,NA
"H27","H27","104203",NA,NA
"H36","H36","104204",NA,NA
"H41","H41","104205",NA,NA
"Lzp-r","Lzp-r","104206",NA,NA
"Mcpt3","Mcpt3","104207",NA,NA
"Ink76","Ink76","104209",NA,NA
"Aldr4","Aldr4","104210",NA,NA
"Aldr2","Aldr2","104211",NA,NA
"Tex5","Tex5","104212",NA,NA
"Clcnk2","Clcnk2","104214",NA,NA
"Rhoq","Rhoq","104215",23433,"RHOQ"
"Ads2","Ads2","104216",NA,NA
"Dtc1","Dtc1","104218",NA,NA
"Ly13","Ly13","104219",NA,NA
"Ly26","Ly26","104220",NA,NA
"Ly30","Ly30","104221",NA,NA
"Rmp2","Rmp2","104225",NA,NA
"Ly76","Ly76","104231",NA,NA
"Ly79","Ly79","104232",NA,NA
"Aal","Aal","104236",NA,NA
"Apo","Apo","104237",NA,NA
"Eam","Eam","104239",NA,NA
"Jt1","Jt1","104240",NA,NA
"Mch","Mch","104242",NA,NA
"Sr1","Sr1","104244",NA,NA
"Slc6a5","Slc6a5","104245",9152,"SLC6A5"
"Msg","Msg","104246",NA,NA
"Cabin1","Cabin1","104248",23523,"CABIN1"
"Ly99","Ly99","104250",NA,NA
"Cdc42ep2","Cdc42ep2","104252",10435,"CDC42EP2"
"Ad","Ad","104253",NA,NA
"Lyb3","Lyb3","104258",NA,NA
"Lyb5","Lyb5","104259",NA,NA
"Rig2","Rig2","104261",NA,NA
"Kdm3a","Kdm3a","104263",55818,"KDM3A"
"Olfr14","Olfr14","104264",NA,NA
"Tsp2","Tsp2","104266",NA,NA
"Tsp5","Tsp5","104267",NA,NA
"Tex15","Tex15","104271",56154,"TEX15"
"Caf","Caf","104272",NA,NA
"Glud-ps","Glud-ps","104277",NA,NA
"Pctr2","Pctr2","104290",NA,NA
"Tsp7","Tsp7","104293",NA,NA
"Tsp6","Tsp6","104294",NA,NA
"Igis1","Igis1","104297",NA,NA
"Exnm","Exnm","104298",NA,NA
"Prt1","Prt1","104299",NA,NA
"Prt3","Prt3","104300",NA,NA
"Prt6","Prt6","104301",NA,NA
"Arl1","Arl1","104303",400,"ARL1"
"Rnu12","Rnu12","104307",NA,NA
"Poo","Poo","104310",NA,NA
"Csnk1d","Csnk1d","104318",1453,"CSNK1D"
"Cfp1","Cfp1","104320",NA,NA
"Emi1","Emi1","104323",NA,NA
"Hrs2","Hrs2","104324",NA,NA
"Lzm-s2","Lzm-s2","104325",NA,NA
"Mdmg1","Mdmg1","104326",NA,NA
"Mp","Mp","104327",NA,NA
"Hfh7","Hfh7","104328",NA,NA
"Blai2","Blai2","104329",NA,NA
"Pira9","Pira9","104333",NA,NA
"Pira8","Pira8","104334",NA,NA
"Gct1","Gct1","104337",NA,NA
"O<hv>","O<hv>","104339",NA,NA
"Blai1","Blai1","104342",NA,NA
"Gas8","Gas8","104346",2622,"GAS8"
"Cpza","Cpza","104347",NA,NA
"Zfp120","Zfp120","104348",NA,NA
"Zfp119a","Zfp119a","104349",NA,NA
"Nuca","Nuca","104352",NA,NA
"Rec2","Rec2","104353",NA,NA
"Rep1","Rep1","104354",NA,NA
"Rnrc","Rnrc","104355",NA,NA
"Rnrb","Rnrb","104356",NA,NA
"n-THgtg8","n-THgtg8","104358",NA,NA
"Isl2","Isl2","104360",64843,"ISL2"
"Meig1","Meig1","104362",644890,"MEIG1"
"Snora64","Snora64","104366",NA,NA
"Snora65","Snora65","104367",NA,NA
"Snora70","Snora70","104368",NA,NA
"Snora69","Snora69","104369",NA,NA
"Snora68","Snora68","104370",NA,NA
"Acc","Acc","104371",NA,NA
"Enc","Enc","104374",NA,NA
"Ezg","Ezg","104375",NA,NA
"Iac","Iac","104377",NA,NA
"Srlv1","Srlv1","104378",NA,NA
"Barhl2","Barhl2","104382",343472,"BARHL2"
"Rcor2","Rcor2","104383",283248,"RCOR2"
"Rhox9","Rhox9","104384",NA,NA
"Asc1","Asc1","104385",NA,NA
"Asc2","Asc2","104386",NA,NA
"Exi","Exi","104387",NA,NA
"Ifi12","Ifi12","104389",NA,NA
"Melc","Melc","104390",NA,NA
"Rasl2-1","Rasl2-1","104391",NA,NA
"E2f4","E2f4","104394",1874,"E2F4"
"Gtig1","Gtig1","104397",NA,NA
"Pcnx3","Pcnx3","104401",399909,"PCNX3"
"Exz1","Exz1","104406",NA,NA
"Hsp84-2","Hsp84-2","104408",NA,NA
"Bap1","Bap1","104416",8314,"BAP1"
"Dgkz","Dgkz","104418",8525,"DGKZ"
"Eem1","Eem1","104422",NA,NA
"Snora62","Snora62","104433",NA,NA
"Hsp84-3","Hsp84-3","104434",NA,NA
"Rgv2","Rgv2","104435",NA,NA
"Tpe2","Tpe2","104436",NA,NA
"Cfp3","Cfp3","104438",NA,NA
"Cfp2","Cfp2","104439",NA,NA
"Tel-rs6","Tel-rs6","104441",NA,NA
"Npffr2","Npffr2","104443",10886,"NPFFR2"
"Rexo2","Rexo2","104444",25996,"REXO2"
"Cdc42ep1","Cdc42ep1","104445",11135,"CDC42EP1"
"AL024152","AL024152","104447",NA,NA
"0610010K14Rik","0610010K14Rik","104457",124944,"C17orf49"
"Rars","Rars","104458",5917,"RARS1"
"AU014795","AU014795","104462",NA,NA
"AU015555","AU015555","104470",NA,NA
"Ccdc117","Ccdc117","104479",150275,"CCDC117"
"AU019300","AU019300","104486",NA,NA
"AU022194","AU022194","104506",NA,NA
"AU022238","AU022238","104507",NA,NA
"AU022554","AU022554","104509",NA,NA
"AU022579","AU022579","104510",NA,NA
"AU040972","AU040972","104522",NA,NA
"Ppp4r3b","Ppp4r3b","104570",57223,"PPP4R3B"
"Rprml","Rprml","104582",388394,"RPRML"
"AW125324","AW125324","104600",NA,NA
"Mycbpap","Mycbpap","104601",84073,"MYCBPAP"
"Cnot6","Cnot6","104625",57472,"CNOT6"
"Tsr1","Tsr1","104662",55720,"TSR1"
"AW610836","AW610836","104677",NA,NA
"AW742696","AW742696","104678",NA,NA
"9530018D06Rik","9530018D06Rik","104679",NA,NA
"Slc16a6","Slc16a6","104681",9120,"SLC16A6"
"AW743339","AW743339","104685",NA,NA
"Gm12108","Gm12108","104692",NA,NA
"BB122250","BB122250","104697",NA,NA
"BB143651","BB143651","104701",NA,NA
"BB162755","BB162755","104705",NA,NA
"BB217526","BB217526","104708",NA,NA
"Pik3r6","Pik3r6","104709",146850,"PIK3R6"
"Ttc7b","Ttc7b","104718",145567,"TTC7B"
"Ddx1","Ddx1","104721",1653,"DDX1"
"Sptssa","Sptssa","104725",171546,"SPTSSA"
"AA415338","AA415338","104728",NA,NA
"AA511268","AA511268","104729",NA,NA
"AA516601","AA516601","104730",NA,NA
"AA517849","AA517849","104731",NA,NA
"Tedc1","Tedc1","104732",283643,"TEDC1"
"AA536658","AA536658","104733",NA,NA
"AA575097","AA575097","104735",NA,NA
"AA589515","AA589515","104738",NA,NA
"AF070003","AF070003","104748",NA,NA
"AI035719","AI035719","104750",NA,NA
"AI115515","AI115515","104754",NA,NA
"Pld4","Pld4","104759",122618,"PLD4"
"Jkamp","Jkamp","104771",51528,"JKAMP"
"Aldh6a1","Aldh6a1","104776",4329,"ALDH6A1"
"AI316808","AI316808","104783",NA,NA
"Sfta3-ps","Sfta3-ps","104798",NA,NA
"Vipas39","Vipas39","104799",63894,"VIPAS39"
"AI414330","AI414330","104800",NA,NA
"Fancm","Fancm","104806",57697,"FANCM"
"AI428406","AI428406","104812",NA,NA
"Aspg","Aspg","104816",374569,"ASPG"
"Ptpn23","Ptpn23","104831",25930,"PTPN23"
"Cbll1","Cbll1","104836",79872,"CBLL1"
"Tecpr2","Tecpr2","104859",9895,"TECPR2"
"Spata7","Spata7","104871",55812,"SPATA7"
"Tdp1","Tdp1","104884",55775,"TDP1"
"Tmem179","Tmem179","104885",388021,"TMEM179"
"Rab15","Rab15","104886",376267,"RAB15"
"AI852580","AI852580","104896",NA,NA
"Slc25a47","Slc25a47","104910",283600,"SLC25A47"
"Adi1","Adi1","104923",55256,"ADI1"
"AU015738","AU015738","104930",NA,NA
"AU015791","AU015791","104932",NA,NA
"AU017263","AU017263","104936",NA,NA
"Fam110c","Fam110c","104943",642273,"FAM110C"
"AU019868","AU019868","104945",NA,NA
"D12Mgi38","D12Mgi38","104946",NA,NA
"AU021977","AU021977","104950",NA,NA
"AU022348","AU022348","104952",NA,NA
"AV259865","AV259865","104981",NA,NA
"AW060763","AW060763","104993",NA,NA
"Dnal1","Dnal1","105000",83544,"DNAL1"
"Lratd1","Lratd1","105005",151354,"LRATD1"
"Rdh14","Rdh14","105014",57665,"RDH14"
"AW742725","AW742725","105050",NA,NA
"D12Mgi44","D12Mgi44","105052",NA,NA
"AW743365","AW743365","105053",NA,NA
"AW743876","AW743876","105054",NA,NA
"AW822243","AW822243","105055",NA,NA
"BB042571","BB042571","105057",NA,NA
"BB044704","BB044704","105058",NA,NA
"BB125219","BB125219","105063",NA,NA
"AA407175","AA407175","105070",NA,NA
"Pelo","Pelo","105083",53918,"PELO"
"AA511260","AA511260","105093",NA,NA
"AA516957","AA516957","105094",NA,NA
"AA517650","AA517650","105095",NA,NA
"AA517651","AA517651","105096",NA,NA
"AA571384","AA571384","105097",NA,NA
"AA986891","AA986891","105108",NA,NA
"AI043046","AI043046","105111",NA,NA
"AI197445","AI197445","105120",NA,NA
"AI225925","AI225925","105122",NA,NA
"AI256346","AI256346","105123",NA,NA
"Iars","Iars","105148",3376,"IARS1"
"AI429388","AI429388","105163",NA,NA
"Arrdc3","Arrdc3","105171",57561,"ARRDC3"
"AI462951","AI462951","105183",NA,NA
"D130076G13Rik","D130076G13Rik","105185",NA,NA
"AI481207","AI481207","105188",NA,NA
"Nhlrc1","Nhlrc1","105193",378884,"NHLRC1"
"Tasor2","Tasor2","105203",54906,"TASOR2"
"AI663969","AI663969","105211",NA,NA
"Rnf44","Rnf44","105239",22838,"RNF44"
"Slc9a3","Slc9a3","105243",6550,"SLC9A3"
"Txndc5","Txndc5","105245",81567,"TXNDC5"
"Brd9","Brd9","105246",65980,"BRD9"
"AL024213","AL024213","105253",NA,NA
"AU015559","AU015559","105259",NA,NA
"D930043N17Rik","D930043N17Rik","105260",NA,NA
"AU015723","AU015723","105262",NA,NA
"AU016102","AU016102","105264",NA,NA
"AU017674","AU017674","105271",NA,NA
"AU017834","AU017834","105272",NA,NA
"AU018574","AU018574","105273",NA,NA
"AU018877","AU018877","105276",NA,NA
"Cdk20","Cdk20","105278",23552,"CDK20"
"AU019796","AU019796","105281",NA,NA
"E030046B03Rik","E030046B03Rik","105283",NA,NA
"AU021025","AU021025","105285",NA,NA
"AU021877","AU021877","105289",NA,NA
"AU021895","AU021895","105290",NA,NA
"AU022445","AU022445","105291",NA,NA
"AU022746","AU022746","105292",NA,NA
"Epdr1","Epdr1","105298",54749,"EPDR1"
"AU042410","AU042410","105301",NA,NA
"AW011956","AW011956","105332",NA,NA
"Golm1","Golm1","105348",51280,"GOLM1"
"Akr1c18","Akr1c18","105349",NA,NA
"AW209491","AW209491","105351",79020,"C7orf25"
"Dusp22","Dusp22","105352",56940,"DUSP22"
"Slc17a3","Slc17a3","105355",10786,"SLC17A3"
"AW495222","AW495222","105364",NA,NA
"Utp15","Utp15","105372",84135,"UTP15"
"Slf1","Slf1","105377",84250,"SLF1"
"Akr1c14","Akr1c14","105387",NA,NA
"AW742221","AW742221","105391",NA,NA
"AW742350","AW742350","105392",NA,NA
"AW742391","AW742391","105393",NA,NA
"AW742635","AW742635","105395",NA,NA
"AW742864","AW742864","105396",NA,NA
"9330199F22Rik","9330199F22Rik","105398",NA,NA
"BB120430","BB120430","105402",NA,NA
"BB123696","BB123696","105404",NA,NA
"BB124184","BB124184","105405",NA,NA
"BB189686","BB189686","105407",NA,NA
"D14Mgi10","D14Mgi10","105416",NA,NA
"E330034G19Rik","E330034G19Rik","105418",NA,NA
"AA511280","AA511280","105420",NA,NA
"AA516634","AA516634","105421",NA,NA
"AA517116","AA517116","105423",NA,NA
"B930053N05Rik","B930053N05Rik","105425",NA,NA
"AA517841","AA517841","105426",NA,NA
"AA517858","AA517858","105427",NA,NA
"Fam149b","Fam149b","105428",317662,"FAM149B1"
"AA536951","AA536951","105431",NA,NA
"AA673491","AA673491","105438",NA,NA
"Slain1","Slain1","105439",122060,"SLAIN1"
"Kctd9","Kctd9","105440",54793,"KCTD9"
"B130052P14Rik","B130052P14Rik","105442",NA,NA
"Dock9","Dock9","105445",23348,"DOCK9"
"Gmpr2","Gmpr2","105446",51292,"GMPR2"
"AA986715","AA986715","105449",NA,NA
"Mmrn2","Mmrn2","105450",79812,"MMRN2"
"AB039980","AB039980","105452",NA,NA
"AI225892","AI225892","105465",NA,NA
"Abhd4","Abhd4","105501",63874,"ABHD4"
"Exoc5","Exoc5","105504",10640,"EXOC5"
"Fam170b","Fam170b","105511",170370,"FAM170B"
"Chmp7","Chmp7","105513",91782,"CHMP7"
"A630023A22Rik","A630023A22Rik","105518",NA,NA
"Ankrd28","Ankrd28","105522",23243,"ANKRD28"
"AI480461","AI480461","105525",NA,NA
"AI646531","AI646531","105546",NA,NA
"Mbnl2","Mbnl2","105559",10150,"MBNL2"
"AI987986","AI987986","105573",NA,NA
"Zfp957","Zfp957","105590",NA,NA
"AU018466","AU018466","105592",NA,NA
"Cphx1","Cphx1","105594",NA,NA
"AU020094","AU020094","105596",NA,NA
"D14Mgi24","D14Mgi24","105600",NA,NA
"AU021745","AU021745","105601",NA,NA
"AU022240","AU022240","105602",NA,NA
"AU022395","AU022395","105604",NA,NA
"AU024086","AU024086","105610",NA,NA
"AU040096","AU040096","105611",NA,NA
"Dph3","Dph3","105638",285381,"DPH3"
"Ppp1r3e","Ppp1r3e","105651",90673,"PPP1R3E"
"Phyhip","Phyhip","105653",9796,"PHYHIP"
"Thtpa","Thtpa","105663",79178,"THTPA"
"Rcbtb2","Rcbtb2","105670",1102,"RCBTB2"
"Ppif","Ppif","105675",10105,"PPIF"
"Mycbp2","Mycbp2","105689",23077,"MYCBP2"
"AW549269","AW549269","105692",NA,NA
"BB055853","BB055853","105707",NA,NA
"BB086117","BB086117","105710",NA,NA
"BB176409","BB176409","105718",NA,NA
"Ano6","Ano6","105722",196527,"ANO6"
"Slc38a1","Slc38a1","105727",81539,"SLC38A1"
"Fam83h","Fam83h","105732",286077,"FAM83H"
"Tigd5","Tigd5","105734",84948,"TIGD5"
"AA511244","AA511244","105740",NA,NA
"AA511283","AA511283","105741",NA,NA
"AA516735","AA516735","105742",NA,NA
"AA516936","AA516936","105743",NA,NA
"AA516939","AA516939","105744",NA,NA
"AA517542","AA517542","105745",NA,NA
"AA517844","AA517844","105746",NA,NA
"AA545189","AA545189","105748",NA,NA
"AA589642","AA589642","105755",NA,NA
"AA675007","AA675007","105759",NA,NA
"AA960008","AA960008","105763",NA,NA
"AI115024","AI115024","105776",NA,NA
"Scrib","Scrib","105782",23513,"SCRIB"
"Kdelr3","Kdelr3","105785",11015,"KDELR3"
"Prkaa1","Prkaa1","105787",5562,"PRKAA1"
"AI256671","AI256671","105798",NA,NA
"Amigo2","Amigo2","105827",347902,"AMIGO2"
"Ccdc65","Ccdc65","105833",85478,"CCDC65"
"Sgsm3","Sgsm3","105835",27352,"SGSM3"
"Mtbp","Mtbp","105837",27085,"MTBP"
"Dennd3","Dennd3","105841",22898,"DENND3"
"AI448362","AI448362","105843",NA,NA
"Card10","Card10","105844",29775,"CARD10"
"Lmf2","Lmf2","105847",91289,"LMF2"
"Mal2","Mal2","105853",114569,"MAL2"
"Nckap1l","Nckap1l","105855",3071,"NCKAP1L"
"Csdc2","Csdc2","105859",27254,"CSDC2"
"Krt72","Krt72","105866",140807,"KRT72"
"AI528492","AI528492","105868",NA,NA
"AI605151","AI605151","105877",NA,NA
"Ugt3a1","Ugt3a1","105887",167127,"UGT3A2"
"9030619P08Rik","9030619P08Rik","105892",NA,NA
"AI790276","AI790276","105894",NA,NA
"AI835086","AI835086","105896",NA,NA
"AI931719","AI931719","105932",NA,NA
"AL022815","AL022815","105941",NA,NA
"AU015438","AU015438","105956",NA,NA
"AU015449","AU015449","105957",NA,NA
"AU019754","AU019754","105964",NA,NA
"AU021063","AU021063","105968",NA,NA
"AU021782","AU021782","105969",NA,NA
"AU021833","AU021833","105971",NA,NA
"AU021889","AU021889","105972",NA,NA
"AU022749","AU022749","105974",NA,NA
"AU022754","AU022754","105975",NA,NA
"AU022793","AU022793","105976",NA,NA
"AU022852","AU022852","105977",NA,NA
"Espl1","Espl1","105988",9700,"ESPL1"
"AU045094","AU045094","105989",NA,NA
"D15Mgi30","D15Mgi30","105994",NA,NA
"Tafa5","Tafa5","106014",25817,"TAFA5"
"AW050190","AW050190","106017",NA,NA
"Topors","Topors","106021",10210,"TOPORS"
"Sharpin","Sharpin","106025",81858,"SHARPIN"
"AW121686","AW121686","106026",NA,NA
"Gga1","Gga1","106039",26088,"GGA1"
"Prickle1","Prickle1","106042",144165,"PRICKLE1"
"AW413774","AW413774","106046",NA,NA
"Fbxo4","Fbxo4","106052",26272,"FBXO4"
"A430088P11Rik","A430088P11Rik","106059",NA,NA
"Rimoc1","Rimoc1","106064",285636,"RIMOC1"
"Slc45a4","Slc45a4","106068",57210,"SLC45A4"
"Mfsd5","Mfsd5","106073",84975,"MFSD5"
"AW557046","AW557046","106074",NA,NA
"AW742793","AW742793","106079",NA,NA
"AW742948","AW742948","106080",NA,NA
"BB060269","BB060269","106088",NA,NA
"BB157357","BB157357","106096",NA,NA
"D15Mgi29","D15Mgi29","106097",NA,NA
"AA516830","AA516830","106121",NA,NA
"AA537038","AA537038","106125",NA,NA
"AA537047","AA537047","106126",NA,NA
"AA589532","AA589532","106131",NA,NA
"D16Mgi22","D16Mgi22","106137",NA,NA
"Cggbp1","Cggbp1","106143",8545,"CGGBP1"
"AI115486","AI115486","106150",NA,NA
"AI197313","AI197313","106162",NA,NA
"D630050H08Rik","D630050H08Rik","106170",NA,NA
"AI324963","AI324963","106185",NA,NA
"Txndc11","Txndc11","106200",51061,"TXNDC11"
"AI428301","AI428301","106201",NA,NA
"Zc3h7a","Zc3h7a","106205",29066,"ZC3H7A"
"AI528516","AI528516","106226",NA,NA
"Qtrt2","Qtrt2","106248",79691,"QTRT2"
"AI662175","AI662175","106250",NA,NA
"D230034L24Rik","D230034L24Rik","106251",NA,NA
"AI790442","AI790442","106258",NA,NA
"Ncbp2as2","Ncbp2as2","106264",152217,"NCBP2AS2"
"AI844685","AI844685","106267",NA,NA
"AI848615","AI848615","106274",NA,NA
"D16Mgi11","D16Mgi11","106286",NA,NA
"AL022871","AL022871","106296",NA,NA
"Rrn3","Rrn3","106298",54700,"RRN3"
"AL023045","AL023045","106299",NA,NA
"AU014876","AU014876","106306",NA,NA
"AU015336","AU015336","106309",NA,NA
"AU015734","AU015734","106313",NA,NA
"AU015849","AU015849","106315",NA,NA
"AU015881","AU015881","106316",NA,NA
"AU017796","AU017796","106321",NA,NA
"Osbpl11","Osbpl11","106326",114885,"OSBPL11"
"AU021880","AU021880","106334",NA,NA
"AU021884","AU021884","106335",NA,NA
"AU022167","AU022167","106336",NA,NA
"AU022434","AU022434","106337",NA,NA
"Nsun3","Nsun3","106338",63899,"NSUN3"
"AU022867","AU022867","106341",NA,NA
"Rfc4","Rfc4","106344",5984,"RFC4"
"Ildr1","Ildr1","106347",286676,"ILDR1"
"Ypel1","Ypel1","106369",29799,"YPEL1"
"Eaf2","Eaf2","106389",55840,"EAF2"
"AW107722","AW107722","106391",NA,NA
"Srl","Srl","106393",6345,"SRL"
"Slc51a","Slc51a","106407",200931,"SLC51A"
"AW742604","AW742604","106445",NA,NA
"D16Mgi32","D16Mgi32","106450",NA,NA
"BB163080","BB163080","106459",NA,NA
"AA409289","AA409289","106484",NA,NA
"Sft2d1","Sft2d1","106489",113402,"SFT2D1"
"AA415437","AA415437","106493",NA,NA
"D17Mgi15","D17Mgi15","106494",NA,NA
"AA516613","AA516613","106495",NA,NA
"AA517668","AA517668","106496",NA,NA
"AA517669","AA517669","106497",NA,NA
"AA517753","AA517753","106498",NA,NA
"Stk38","Stk38","106504",11329,"STK38"
"AA673181","AA673181","106506",NA,NA
"Gpsm3","Gpsm3","106512",63940,"GPSM3"
"Pkdcc","Pkdcc","106522",91461,"PKDCC"
"AI131754","AI131754","106527",NA,NA
"Tecr","Tecr","106529",9524,"TECR"
"AI317158","AI317158","106549",NA,NA
"Ldhal6b","Ldhal6b","106557",92483,"LDHAL6B"
"Ppcs","Ppcs","106564",79717,"PPCS"
"Dlk2","Dlk2","106565",65989,"DLK2"
"Rab31","Rab31","106572",11031,"RAB31"
"Fam234a","Fam234a","106581",83986,"FAM234A"
"Nrm","Nrm","106582",11270,"NRM"
"Scaf8","Scaf8","106583",22828,"SCAF8"
"Ankrd12","Ankrd12","106585",23253,"ANKRD12"
"AI463580","AI463580","106602",NA,NA
"AI467299","AI467299","106604",NA,NA
"AI504002","AI504002","106610",NA,NA
"Wdr90","Wdr90","106618",197335,"WDR90"
"AI553519","AI553519","106619",NA,NA
"AI605517","AI605517","106622",NA,NA
"AI645535","AI645535","106626",NA,NA
"AI646383","AI646383","106627",NA,NA
"Trip10","Trip10","106628",9322,"TRIP10"
"AI647874","AI647874","106629",NA,NA
"Ift140","Ift140","106633",9742,"IFT140"
"AI661323","AI661323","106634",NA,NA
"Vmac","Vmac","106639",400673,"VMAC"
"Cyp4f15","Cyp4f15","106648",NA,NA
"Smim29","Smim29","106672",221491,"SMIM29"
"AU015230","AU015230","106695",NA,NA
"AU018902","AU018902","106704",NA,NA
"Rpusd1","Rpusd1","106707",113000,"RPUSD1"
"AU021760","AU021760","106717",NA,NA
"AU022096","AU022096","106718",NA,NA
"AU022490","AU022490","106719",NA,NA
"Mpig6b","Mpig6b","106722",80739,"MPIG6B"
"Catsperd","Catsperd","106757",257062,"CATSPERD"
"Ticam1","Ticam1","106759",148022,"TICAM1"
"AW047481","AW047481","106762",NA,NA
"Ttbk1","Ttbk1","106763",84630,"TTBK1"
"Stap2","Stap2","106766",55620,"STAP2"
"Dhx57","Dhx57","106794",90957,"DHX57"
"Tcf19","Tcf19","106795",6941,"TCF19"
"AW556556","AW556556","106817",NA,NA
"Oard1","Oard1","106821",221443,"OARD1"
"D930007N19Rik","D930007N19Rik","106823",NA,NA
"D230046O15Rik","D230046O15Rik","106824",NA,NA
"AW743368","AW743368","106828",NA,NA
"AW743439","AW743439","106829",NA,NA
"BB217838","BB217838","106838",NA,NA
"AA407331","AA407331","106839",NA,NA
"Unc119b","Unc119b","106840",84747,"UNC119B"
"AA407787","AA407787","106842",NA,NA
"AA408650","AA408650","106846",NA,NA
"AA516602","AA516602","106851",NA,NA
